,Date,Cases,Deaths,Recovered,Travel_history,Province,City
724,4/15/2020,1,0,0,Local - Social Contact,Punjab,Jhang
725,4/15/2020,7,0,0,Local - Social Contact,Punjab,Narowal
726,4/16/2020,21,0,0,Local - Social Contact,Punjab,Rawalpindi
727,4/16/2020,10,0,0,Local - Social Contact,Punjab,Gujranwala
728,4/16/2020,9,0,0,Local - Social Contact,Punjab,Multan
729,4/16/2020,4,0,0,Local - Social Contact,Punjab,Gujrat
730,4/16/2020,24,2,59,Local - Social Contact,Baluchistan,Quetta
731,4/16/2020,5,0,0,Local - Social Contact,Islamabad Capital Territory,Islamabad
732,4/16/2020,22,2,1,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
733,4/16/2020,1,1,4,Local - Social Contact,Khyber Pakhtunkhwa,Nowshera
734,4/16/2020,7,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Buner
735,4/16/2020,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dir Lower
736,4/16/2020,3,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dir Upper
737,4/16/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Haripur
738,4/16/2020,2,0,3,Local - Social Contact,Khyber Pakhtunkhwa,Kohat
739,4/16/2020,2,0,0,Local - Social Contact,Federal Administration Tribal Area,Kurrum
740,4/16/2020,4,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Malakand
741,4/16/2020,5,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Mansehra
742,4/16/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Mardan
743,4/16/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Shangla
744,4/16/2020,7,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Swat
745,4/16/2020,0,0,1,Local - Social Contact,Federal Administration Tribal Area,Bajaur
746,4/16/2020,0,0,2,Local - Social Contact,Khyber Pakhtunkhwa,Bannu
747,4/16/2020,0,0,3,Local - Social Contact,Khyber Pakhtunkhwa,Lakki Marwat
748,4/16/2020,8,0,6,Unknown,Gilgit-Baltistan,Gilgit
749,4/16/2020,0,7,112,Unknown,Punjab,Lahore
750,4/16/2020,24,0,0,Local - Social Contact,Punjab,Lahore
751,4/16/2020,8,0,0,Local - Social Contact,Punjab,Faisalabad
752,4/16/2020,1,0,0,Local - Social Contact,Punjab,Dera Ghazi Khan
753,4/16/2020,21,0,0,Local - Social Contact,Punjab,Rahim Yar Khan
754,4/16/2020,86,0,0,Unknown,Punjab,Sargodha
755,4/16/2020,3,0,0,Local - Social Contact,Punjab,Sialkot
756,4/16/2020,3,0,0,Local - Social Contact,Punjab,Bahawal Nagar
757,4/16/2020,48,0,0,Unknown,Punjab,Bahawalpur
758,4/16/2020,4,0,0,Local - Social Contact,Punjab,Sheikhupura
759,4/16/2020,1,0,0,Local - Social Contact,Punjab,Bhakhar
760,4/16/2020,10,0,0,Tableeghi Jamaat,Punjab,Multan
761,4/16/2020,21,0,0,Local - Social Contact,Punjab,Khushab
762,4/16/2020,70,4,16,Local - Social Contact,Sindh,Karachi
763,4/16/2020,1,0,0,Local - Social Contact,Sindh,Hyderabad
